# goals, # get-abd successes, # get-abd success %,# useful abducts,# useful abducts %, # smt successes, #smt success %, # non-bool equality failures, # abd reconstructr failures, # atom unexp type failures, # non-linear failures
90,22,24.44%,5,5.56%,0,0,3,4,0,28
,,,,,,,,,,
#, Goal, Abducts,Useful Abducts,,,,,,,
41,"  forall p q : positive, Z.neg p <= Z.pos q",p + q = 0,0,,,,,,,
,,p + q = 1,0,,,,,,,
,,0 <= p + q,0,,,,,,,
42,"  forall p : positive, Z.pos p > 0",p = 1,0,,,,,,,
,,1 <= p,0,,,,,,,
,,1 + 1 = p,0,,,,,,,
43,"  forall p : positive, 0 <= Z.pos p",p = 0,0,,,,,,,
,,p = 1,0,,,,,,,
,,0 <= p,0,,,,,,,
44,"  forall p : positive, Z.neg p < 0",p = 1,0,,,,,,,
,,1 <= p,0,,,,,,,
,,1 + 1 = p,0,,,,,,,
45,"  forall n : nat, 0 <= Z.of_nat n",(Z.of_nat n) = 0,0,,,,,,,
,,(Z.of_nat n) = 1,0,,,,,,,
,,0 <= (Z.of_nat n),0,,,,,,,
46,  Z.succ n > m -> n > m \/ m = n,n = m,0,,,,,,,
,,m <= n,0,,,,,,,
,,(Z.succ n) = n,0,,,,,,,
47,  n > m -> p + n > p + m,,,,,,,,,
48,  n > m -> n + p > m + p,,,,,,,,,
49,  n <= m -> p + n <= p + m,,,,,,,,,
50,  n <= m -> n + p <= m + p,,,,,,,,,
51,  n < m -> p + n < p + m,,,,,,,,,
52,  n < m -> n + p < m + p,,,,,,,,,
53,  p + n <= p + m -> n <= m,,,,,,,,,
54,  n + p <= m + p -> n <= m,,,,,,,,,
55,  p + n < p + m -> n < m,,,,,,,,,
56,  n + p < m + p -> n < m,,,,,,,,,
57,  p + n > p + m -> n > m,,,,,,,,,
58,  n + p > m + p -> n > m,,,,,,,,,
59,  n <= m -> 0 <= p -> n * p <= m * p,,,,,,,,,
60,  n <= m -> 0 <= p -> p * n <= p * m,,,,,,,,,
61,  0 < p -> n < m -> n * p < m * p,,,,,,,,,
62,  p > 0 -> n > m -> n * p > m * p,,,,,,,,,
63,  p > 0 -> n < m -> n * p < m * p,,,,,,,,,
64,  p > 0 -> n <= m -> n * p <= m * p,,,,,,,,,
65,  0 < p -> n <= m -> n * p <= m * p,,,,,,,,,
66,  p > 0 -> n < m -> p * n < p * m,,,,,,,,,
67,  0 < p -> n < m -> p * n < p * m,,,,,,,,,
68,  p > 0 -> n > m -> p * n > p * m,,,,,,,,,
69,  n >= m -> p >= 0 -> n * p >= m * p,,,,,,,,,
70,  n >= m -> p >= 0 -> p * n >= p * m,,,,,,,,,
71,  n >= p -> m >= q -> p >= 0 -> q >= 0 -> n * m >= p * q,,,,,,,,,
72,  n <= p -> m <= q -> 0 <= n -> 0 <= m -> n * m <= p * q,,,,,,,,,
73,  p > 0 -> n * p < m * p -> n < m,,,,,,,,,
74,  0 < p -> n * p < m * p -> n < m,,,,,,,,,
75,  p > 0 -> n * p <= m * p -> n <= m,,,,,,,,,
76,  0 < p -> n * p <= m * p -> n <= m,,,,,,,,,
77,  p > 0 -> n * p >= m * p -> n >= m,,,,,,,,,
