# goals, # get-abd successes, # get-abd success %, # smt successes, #smt success %, # non-bool equality failures, # abd reconstructr failures, # atom unexp type failures, # non-linear failures
90,17,18.89%,0,0,3,9,0,28
,,,,,,,,
#, Goal, Abducts,Useful Abducts,,,,,
78,  p > 0 -> n * p > m * p -> n > m,,,,,,,
79,  0 <= n < p -> 0 <= m < q -> n * m < p * q,,,,,,,
80,  n > 0 -> m > 0 -> n * m > 0,,,,,,,
81,  n > 0 -> 0 <= m * n -> 0 <= m,,,,,,,
82,  0 < n -> 0 < m * n -> 0 < m,,,,,,,
83,  n > 0 -> 0 < m * n -> 0 < m,,,,,,,
84,  n > 0 -> n * m > 0 -> m > 0,,,,,,,
85,  0 <= n -> m * m < n * n -> m < n,,,,,,,
86,  n >= 0 -> n * n > m * m -> n > m,,,,,,,
87,  n + p = m <-> n = m - p,,,,,,,
88,  0 < n - m -> m < n,,,,,,,
89,  0 <= n - m -> m <= n,,,,,,,
90,  m <= n -> 0 <= n - m,,,,,,,
,,,8,,,,,
