Option, # goals, # get-abd successes, # get-abd success %, # smt successes, #smt sucess %, # non-bool equality failures, # abd reconstructr failures, # atom unexp type failures, # non-linear failures,,,,
,,n = (Z.succ n) && n = -2 && m <= (Z.succ 0) && m = 0 - 0,,n = (Z.succ n) && m = 1 - n && n = -1 && m = (Z.succ 1) && m <= (Z.succ m),m = n + (Z.succ m) - (Z.succ n),(Z.succ n) = -1 && (Z.succ m) = n && -2 + m = n && n + n = n,,n <= (Z.succ m) && (Z.succ n) <= -1 && m <= m + n,(Z.succ m) = m && (Z.succ n) <= n,(Z.succ n) = -1 && (Z.succ m) = n && -2 + m = n && n + n = n,,n <= (Z.succ m) && (Z.succ n) <= -1 && m <= m + n,(Z.succ m) = m && (Z.succ n) <= n
24,  m > n -> Z.succ m > Z.succ n,m = (Z.succ m) && n = (Z.succ n) && n = 0 + 1,,m <= (Z.succ m) && n = (Z.succ n),,(Z.succ n) = -1 && (Z.succ m) = m && m <= n + n,,m <= (Z.succ m) && n <= m + -3 && (Z.succ 3) = m && (Z.succ n) <= -1 && -1 <= n,(Z.succ m) + -1 = (Z.succ n),(Z.succ n) = -1 && (Z.succ m) = m && m <= n + n,,m <= (Z.succ m) && n <= m + -3 && (Z.succ 3) = m && (Z.succ n) <= -1 && -1 <= n,(Z.succ m) + -1 = (Z.succ n)
,,m <= (Z.succ m) && n = (Z.succ n) && n = 0 + 1,,0 <= (Z.succ m) && m = (Z.succ 0) && m = (Z.succ n) && m = -1 && n = (Z.succ 1),,(Z.succ -3) = -1 && (Z.succ n) = n && (Z.succ m) = -1 && (Z.succ -2) = m && m = -1,,m <= (Z.succ m) && m <= n + n && (Z.succ -2) = -1 && (Z.succ n) = -1,(Z.succ n) <= (Z.succ m) + -1,(Z.succ -3) = -1 && (Z.succ n) = n && (Z.succ m) = -1 && (Z.succ -2) = m && m = -1,,m <= (Z.succ m) && m <= n + n && (Z.succ -2) = -1 && (Z.succ n) = -1,(Z.succ n) <= (Z.succ m) + -1
,,m = (Z.succ m) && n = (Z.succ n) && m = n + m,,0 <= n + m && 0 = (Z.succ n) && m = (Z.succ 1) && m = (Z.succ m) && n = -2,,n + -3 = -1 && (Z.succ m) = n && (Z.succ -3) = -1 && (Z.succ n) = -1,,m <= (Z.succ m) && (Z.succ n) <= -1 && n = -1,(Z.succ n) <= n && (Z.succ m) = m,n + -3 = -1 && (Z.succ m) = n && (Z.succ -3) = -1 && (Z.succ n) = -1,,m <= (Z.succ m) && (Z.succ n) <= -1 && n = -1,(Z.succ n) <= n && (Z.succ m) = m
25,  Z.succ m > Z.succ n -> m > n,,,m = 1 && n <= m,,-1 <= m && n = -1,,n <= -1 && -1 <= m,,-1 <= m && n = -1,,n <= -1 && -1 <= m,
,,,,n <= m,,n <= -1 && -1 <= m,,n <= m,,n <= -1 && -1 <= m,,n <= m,
,,,,(Z.succ m) <= n && 0 <= (Z.succ n) && n <= m - n,,n <= -1 + m,,(Z.succ m) + -1 <= m && n <= (Z.succ n),,n <= -1 + m,,(Z.succ m) + -1 <= m && n <= (Z.succ n),
26,  Z.succ m <= Z.succ n -> m <= n,,,m = n,,n = m,,m <= n,,n = m,,m <= n,
,,,,m <= n,,m = -2 && -1 = n,,(Z.succ m) + n = n && n + -2 = (Z.succ n) && m + m <= n,,m = -2 && -1 = n,,(Z.succ m) + n = n && n + -2 = (Z.succ n) && m + m <= n,
,,,,(Z.succ n) <= n && m <= (Z.succ m) && n = 0,,m <= n + -3,,(not n + m = (Z.succ m)) && (Z.succ -2) - n + n = m && m - (Z.succ -2) = m + m && m - (Z.succ m) = (Z.succ n) && -2 - (Z.succ m) = n - m,,m <= n + -3,,(not n + m = (Z.succ m)) && (Z.succ -2) - n + n = m && m - (Z.succ -2) = m + m && m - (Z.succ m) = (Z.succ n) && -2 - (Z.succ m) = n - m,
27,  Z.succ n < Z.succ m -> n < m,n <= m,,n <= m,,n <= m,,n <= m,,n <= m,,n <= m,
,,(Z.succ 1) = 0 && (Z.succ m) = 0 && (Z.succ 0) = m && n + m = 0 && n - 0 <= 1,,(Z.succ m) <= m && n = (Z.succ n),,n + m <= (Z.succ n) && (Z.succ m) <= n + -3 && n - m = m,,(Z.succ m) - m = n && (Z.succ n) = -1 && (Z.succ n) = n,,n + m <= (Z.succ n) && (Z.succ m) <= n + -3 && n - m = m,,(Z.succ m) - m = n && (Z.succ n) = -1 && (Z.succ n) = n,
,,(Z.succ 1) = 0 && (Z.succ m) = 0 && -1 = m && (Z.succ 0) = n && n - 0 <= 1,,(Z.succ m) <= 0 && m = -1 && n = (Z.succ 1) && n <= (Z.succ n),,(Z.succ m) <= n + m && (Z.succ n) = -1 && n + m + n <= m,,(Z.succ m) - m = n && n <= (Z.succ n) && (Z.succ n) = -1,,(Z.succ m) <= n + m && (Z.succ n) = -1 && n + m + n <= m,,(Z.succ m) - m = n && n <= (Z.succ n) && (Z.succ n) = -1,
28,  Z.succ n > n,n = 0 - 1 && 0 = (Z.succ n),,n = -1 && 0 = (Z.succ n),,5 + n + n <= -1 && -1 <= (Z.succ n),,n <= (Z.succ n) && (not n = -1) && (Z.succ n) = -1,,5 + n + n <= -1 && -1 <= (Z.succ n),,n <= (Z.succ n) && (not n = -1) && (Z.succ n) = -1,
,,n = -2 && 0 = (Z.succ n),,1 <= (Z.succ n) && n = -1,,n + n <= (Z.succ n) && -2 + n = -1,,n + 3 <= -1 && -1 <= (Z.succ n),,n + n <= (Z.succ n) && -2 + n = -1,,n + 3 <= -1 && -1 <= (Z.succ n),
